Time	RMSD
34.65	0.6217475
34.8	0.6258928
34.95	0.648297
35.1	0.6871782
35.25	0.686092
35.4	0.6726133
35.55	0.6750441
35.7	0.6760621
35.85	0.6671957
36	0.6413921
36.15	0.5920088
36.3	0.6138079
36.45	0.6040258
36.6	0.6153364
36.75	0.6164175
36.9	0.6144941
37.05	0.642931
37.2	0.6434534
37.35	0.662273
37.5	0.678044
37.65	0.6580353
37.8	0.6504634
37.95	0.6652997
38.1	0.7025937
38.25	0.6596482
38.4	0.6770794
38.55	0.6781798
38.7	0.6949757
38.85	0.7590032
39	0.6913139
39.15	0.7391173
39.3	0.7443481
39.45	0.7184841
39.6	0.6914119
39.75	0.7203286
39.9	0.7076555
40.05	0.7575323
40.2	0.7805328
40.35	0.7671559
40.5	0.7711322
40.65	0.7583647
40.8	0.7774536
40.95	0.7653193
41.1	0.7545018
41.25	0.7706007
41.4	0.7904028
41.55	0.7099006
41.7	0.6430566
41.85	0.6642396
42	0.6422605
42.15	0.6536387
42.3	0.6448839
42.45	0.6592444
42.6	0.6514165
42.75	0.7006502
42.9	0.7036935
43.05	0.7306703
43.2	0.6914924
43.35	0.7040433
43.5	0.6888798
43.65	0.6436479
43.8	0.6996346
43.95	0.7023223
44.1	0.7215999
44.25	0.7113835
44.4	0.7249645
44.55	0.703769
44.7	0.673843
44.85	0.7108613
45	0.6905624
45.15	0.6662993
45.3	0.6802466
45.45	0.6895804
45.6	0.7062203
45.75	0.6979474
45.9	0.6766213
46.05	0.7129908
46.2	0.6628674
46.35	0.6526898
46.5	0.6678717
46.65	0.6680765
46.8	0.660585
46.95	0.6464958
47.1	0.6630126
47.25	0.6809798
47.4	0.6900679
47.55	0.6501023
47.7	0.651081
47.85	0.689957
48	0.7043525
48.15	0.6996104
48.3	0.6652592
48.45	0.6802319
48.6	0.6740471
48.75	0.6666765
48.9	0.7068765
49.05	0.6891626
49.2	0.6716397
49.35	0.6967059
49.5	0.726138
49.65	0.6906897
49.8	0.6896067
49.95	0.7142934
50.1	0.6851457
50.25	0.7190033
50.4	0.7113522
50.55	0.7089611
50.7	0.6857224
50.85	0.7114794
51	0.7221839
51.15	0.7589885
51.3	0.7461531
51.45	0.7028246
51.6	0.7330027
51.75	0.7230119
51.9	0.7543558
52.05	0.7798212
52.2	0.7620176
52.35	0.7537735
52.5	0.7369099
52.65	0.7606835
52.8	0.713235
52.95	0.719682
53.1	0.7097919
53.25	0.6867982
53.4	0.667554
53.55	0.6808175
53.7	0.6880211
53.85	0.6878463
54	0.678489
54.15	0.6546129
54.3	0.7079107
54.45	0.7181852
54.6	0.7153284
54.75	0.7287626
54.9	0.6744107
55.05	0.6797692
55.2	0.6855448
55.35	0.6874596
55.5	0.6977149
55.65	0.6764796
55.8	0.6769003
55.95	0.6843442
56.1	0.6684234
56.25	0.6837696
56.4	0.6739819
56.55	0.7020022
56.7	0.7051585
56.85	0.6883814
57	0.6997972
57.15	0.6632086
57.3	0.6448298
57.45	0.6226619
57.6	0.6172867
57.75	0.5862405
57.9	0.595951
58.05	0.6149995
58.2	0.5632367
58.35	0.5785186
58.5	0.5954978
58.65	0.5626514
58.8	0.629296
58.95	0.5628123
59.1	0.5819151
59.25	0.5777203
59.4	0.6134457
59.55	0.5935885
59.7	0.6504562
59.85	0.6561505
60	0.6777955
60.15	0.6947217
60.3	0.6568089
60.45	0.7024367
60.6	0.6633668
60.75	0.6503975
60.9	0.6269256
61.05	0.6399061
61.2	0.6864068
61.35	0.6913665
61.5	0.7119027
61.65	0.7476677
61.8	0.7161364
61.95	0.6584188
62.1	0.6100485
62.25	0.6052547
62.4	0.6355847
62.55	0.6154519
62.7	0.6335362
62.85	0.6564922
63	0.6830629
63.15	0.6872107
63.3	0.6715544
63.45	0.6682114
63.6	0.68837
63.75	0.6710576
63.9	0.7138551
64.05	0.6731544
64.2	0.7050118
64.35	0.722042
64.5	0.7274674
64.65	0.74914
64.8	0.7244431
64.95	0.772545
65.1	0.7980905
65.25	0.7452737
65.4	0.7623004
65.55	0.6981288
65.7	0.7030894
65.85	0.7213544
66	0.7335126
66.15	0.7122566
66.3	0.7141672
66.45	0.7124966
66.6	0.720927
66.75	0.7132449
66.9	0.6882225
67.05	0.6889306
67.2	0.6933823
67.35	0.6640663
67.5	0.7144081
67.65	0.7249298
67.8	0.6907858
67.95	0.6872974
68.1	0.7171921
68.25	0.6769126
68.4	0.6894301
68.55	0.6895237
68.7	0.6740788
68.85	0.6881961
69	0.6745037
69.15	0.668459
69.3	0.7018936
69.45	0.6986289
69.6	0.6696058
69.75	0.6867576
69.9	0.6763899
70.05	0.6720279
70.2	0.6912668
70.35	0.6955633
70.5	0.7011747
70.65	0.6810217
70.8	0.6980042
70.95	0.6850969
71.1	0.7089244
71.25	0.7265615
71.4	0.7000517
71.55	0.690092
71.7	0.6954488
71.85	0.6798753
72	0.6956058
72.15	0.6809743
72.3	0.6987823
72.45	0.6900642
72.6	0.6958286
72.75	0.6989728
72.9	0.6940268
73.05	0.7101111
73.2	0.6864917
73.35	0.6897945
73.5	0.7124107
73.65	0.7054869
73.8	0.738764
73.95	0.7370791
74.1	0.7088684
74.25	0.7471138
74.4	0.7346389
74.55	0.7077959
74.7	0.6997107
74.85	0.7136729
75	0.7068087
75.15	0.7115107
75.3	0.7172106
75.45	0.7239566
75.6	0.703701
75.75	0.7183119
75.9	0.7553422
76.05	0.7516732
76.2	0.7680792
76.35	0.7416686
76.5	0.7401027
76.65	0.7405414
76.8	0.7272106
76.95	0.712889
77.1	0.7120642
77.25	0.7337683
77.4	0.7056228
77.55	0.6791778
77.7	0.7151335
77.85	0.6972428
78	0.7424306
78.15	0.7466696
78.3	0.7405019
78.45	0.7726527
78.6	0.7431462
78.75	0.7478809
78.9	0.7285522
79.05	0.7273359
79.2	0.7026775
79.35	0.696258
79.5	0.7572025
79.65	0.7354301
79.8	0.7157673
79.95	0.6718381
80.1	0.6730922
80.25	0.6918236
80.4	0.6595496
80.55	0.6299595
80.7	0.6426036
80.85	0.6645147
81	0.6474779
81.15	0.6274498
81.3	0.6474434
81.45	0.7165631
81.6	0.7271072
81.75	0.6892787
81.9	0.7102552
82.05	0.7143094
82.2	0.6878294
82.35	0.6894727
82.5	0.6972389
82.65	0.7226917
82.8	0.7038741
82.95	0.671396
83.1	0.676544
83.25	0.653775
83.4	0.6943483
83.55	0.7193173
83.7	0.676522
83.85	0.6727672
84	0.703941
84.15	0.6770678
84.3	0.7227366
84.45	0.7144846
84.6	0.7045878
84.75	0.6803064
84.9	0.7086771
85.05	0.6695775
85.2	0.7206669
85.35	0.6694189
85.5	0.6832236
85.65	0.7312341
85.8	0.7208321
85.95	0.7161208
86.1	0.7352887
86.25	0.6987191
86.4	0.7338189
86.55	0.7573314
86.7	0.7457369
86.85	0.6893428
87	0.6959969
87.15	0.710125
87.3	0.7116315
87.45	0.7293621
87.6	0.7396205
87.75	0.759501
87.9	0.7174904
88.05	0.730841
88.2	0.6952953
88.35	0.7117158
88.5	0.7112835
88.65	0.7102515
88.8	0.7105754
88.95	0.7386406
89.1	0.7836174
89.25	0.7791667
89.4	0.7568439
89.55	0.7763138
89.7	0.7595295
89.85	0.757708
90	0.7149794
